script_id,script_number,model,prompt_type,language,category,snippet,script_path,ok_runs,failed_runs,total_runs,elapsed_seconds_mean,elapsed_seconds_median,elapsed_seconds_std,elapsed_seconds_min,elapsed_seconds_max,energy_joules_mean,energy_joules_median,energy_joules_std,energy_joules_min,energy_joules_max,avg_power_watts_mean,avg_power_watts_median,avg_power_watts_std,avg_power_watts_min,avg_power_watts_max
script_1,1,original,base,python,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/01_impute_encode_scale.py,30,0,30,0.587704164,0.587691752,0.002727597,0.583269936,0.595585254,9.691666667,9.700000000,0.123066658,9.430000000,9.960000000,16.490929554,16.468379943,0.212486939,16.116812221,17.008074679
script_2,2,original,base,python,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_manipulation_preprocessing/02_merge_aggregate_reshape.py,30,0,30,0.620300689,0.619173945,0.004082982,0.615251618,0.630571999,10.174666667,10.165000000,0.132632064,9.940000000,10.590000000,16.403175427,16.412694949,0.215743613,15.957700957,16.794275700
script_3,3,original,base,python,data_visualization,01_scatter_trend_grouped,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/01_scatter_trend_grouped.py,30,0,30,0.911748012,0.909251493,0.007553337,0.901135002,0.935600825,15.159666667,15.140000000,0.212529646,14.800000000,15.650000000,16.627998250,16.629825181,0.260730963,15.850776959,17.266563002
script_4,4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,30,0,30,0.847541464,0.845047822,0.006042127,0.839759515,0.862375701,14.261666667,14.270000000,0.159137402,13.900000000,14.610000000,16.827555831,16.857005003,0.191596894,16.384970012,17.151545158
script_5,5,original,base,python,machine_learning_workflows,01_pipeline_cv_gridsearch_classification,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/machine_learning_workflows/01_pipeline_cv_gridsearch_classification.py,30,0,30,3.115271053,2.724431863,0.723615235,2.666822373,4.600407149,97.661000000,101.845000000,9.854911378,79.370000000,106.540000000,33.226531406,37.268910340,8.450613236,17.620179557,39.700026851
script_6,6,original,base,python,machine_learning_workflows,02_regression_workflow_feature_importance,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/machine_learning_workflows/02_regression_workflow_feature_importance.py,30,0,30,12.182617281,12.174177088,0.057350580,12.117086293,12.431524820,193.517333333,193.115000000,2.225248430,190.110000000,199.410000000,15.884592851,15.858321345,0.154437979,15.600096058,16.184041452
script_7,7,original,base,python,statistical_modelling_analysis,01_linear_regression_inference,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/statistical_modelling_analysis/01_linear_regression_inference.py,30,0,30,0.724204290,0.723300243,0.003982629,0.718886180,0.732405259,12.029666667,12.000000000,0.135557173,11.820000000,12.290000000,16.611134751,16.546834465,0.188890462,16.350563695,16.984071064
script_8,8,original,base,python,statistical_modelling_analysis,02_logistic_regression_odds_ratios,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/statistical_modelling_analysis/02_logistic_regression_odds_ratios.py,30,0,30,0.756226526,0.755573680,0.003260769,0.750171890,0.764738026,12.538666667,12.520000000,0.132865847,12.300000000,12.770000000,16.580972812,16.560172554,0.198923971,16.176906376,16.943689263
script_9,9,original,base,r,data_manipulation_preprocessing,01_impute_encode_scale,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/r/data_manipulation_preprocessing/01_impute_encode_scale.R,30,0,30,0.092358582,0.092040134,0.003313458,0.087748825,0.099464096,1.375000000,1.370000000,0.039544824,1.310000000,1.470000000,14.912474712,14.922542671,0.812219645,13.360896593,16.407951370
script_10,10,original,base,r,data_manipulation_preprocessing,02_merge_aggregate_reshape,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/r/data_manipulation_preprocessing/02_merge_aggregate_reshape.R,30,0,30,0.093465618,0.093199029,0.003936978,0.087984595,0.105183462,1.397666667,1.400000000,0.033289051,1.340000000,1.490000000,14.984865645,14.989346825,0.828342794,12.739645326,16.521996077
